"","id","attack","health","cost","name","rarity","set","type","collectible","text","race","spellDamage","durability","overload","cardClass","patch_num","meta1","meta2","meta3","meta4","meta5","meta6","meta7","meta8","meta_num","how","what","invariate","atk_over_hp","has_power"
"11","BT_019",2,1,2,"Murgur Murgurgle","LEGENDARY","AOO","MINION",TRUE,"[x]<b>Divine Shield</b>
<b>Deathrattle:</b> Shuffle
'Murgurgle Prime'
into your deck.","MURLOC",NA,NA,NA,"PALADIN","51510",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"meta8","Deathrattle",NA,"Divine_Shield","ATK>HP","Other"
"12","BT_020",1,3,1,"Aldor Attendant","COMMON","AOO","MINION",TRUE,"<b>Battlecry:</b> Reduce the Cost of your Librams by (1) this game.",NA,NA,NA,NA,"PALADIN","51510",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"meta8","Battlecry",NA,NA,"ATK<HP","Other"
"13","BT_021",NA,NA,1,"Font of Power","RARE","AOO","SPELL",TRUE,"<b>Discover</b> a Mage minion. If your deck has no minions, keep all 3.",NA,NA,NA,NA,"MAGE","51510",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"meta8",NA,"Add",NA,NA,"Other"
"14","BT_022",2,3,2,"Apexis Smuggler","EPIC","AOO","MINION",TRUE,"After you play a <b>Secret</b>, <b>Discover</b> a spell.",NA,NA,NA,NA,"MAGE","51510",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"meta8","One_or_More_Trigger","Add",NA,"ATK<HP","Other"
"15","BT_024",NA,NA,9,"Libram of Hope","EPIC","AOO","SPELL",TRUE,"Restore 8 Health. Summon an 8/8 Guardian with <b>Taunt</b> and <b>Divine Shield</b>.",NA,NA,NA,NA,"PALADIN","51510",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"meta8",NA,"Summon & Restore",NA,NA,"Other"
"16","BT_025",NA,NA,2,"Libram of Wisdom","RARE","AOO","SPELL",TRUE,"[x]Give a minion +1/+1
and ""<b>Deathrattle:</b> Add
a 'Libram of Wisdom'
spell to your hand.""",NA,NA,NA,NA,"PALADIN","51510",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"meta8","Deathrattle","Give",NA,NA,"Other"
"17","BT_026",4,6,5,"Aldor Truthseeker","RARE","AOO","MINION",TRUE,"<b>Taunt</b>. <b>Battlecry:</b> Reduce the Cost of your Librams by (2) this game.",NA,NA,NA,NA,"PALADIN","51510",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"meta8","Battlecry",NA,"Taunt","ATK<HP","Other"
"18","BT_028",3,2,2,"Astromancer Solarian","LEGENDARY","AOO","MINION",TRUE,"[x]<b>Spell Damage +1</b>
<b>Deathrattle:</b> Shuffle
'Solarian Prime'
into your deck.",NA,1,NA,NA,"MAGE","51510",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"meta8","Deathrattle",NA,NA,"ATK>HP","Other"
"19","BT_035",NA,NA,2,"Chaos Strike","FREE","CORE","SPELL",TRUE,"Give your hero +2 Attack this turn. Draw a card.",NA,NA,NA,NA,"DEMONHUNTER","51510",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"meta8",NA,"Draw & Give",NA,NA,"Other"
"20","BT_036",NA,NA,3,"Coordinated Strike","FREE","CORE","SPELL",TRUE,"Summon three 1/1 Illidari with <b>Rush</b>.",NA,NA,NA,NA,"DEMONHUNTER","51510",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"meta8",NA,"Summon",NA,NA,"Other"
"21","BT_042",NA,NA,2,"Bamboozle","EPIC","AOO","SPELL",TRUE,"[x]<b>Secret:</b> When one of
your minions is attacked,
transform it into a random
one that costs (3) more.",NA,NA,NA,NA,"ROGUE","51510",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"meta8","One_or_More_Trigger",NA,NA,NA,"Other"
"22","BT_072",NA,NA,8,"Deep Freeze","RARE","AOO","SPELL",TRUE,"<b>Freeze</b> an enemy. Summon two 3/6 Water Elementals.",NA,NA,NA,NA,"MAGE","51510",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"meta8",NA,"Summon & Freeze",NA,NA,"Other"
"23","BT_100",NA,NA,3,"Serpentshrine Portal","COMMON","AOO","SPELL",TRUE,"Deal $3 damage.
Summon a random
3-Cost minion.
<b>Overload:</b> (1)",NA,NA,NA,1,"SHAMAN","51510",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"meta8",NA,"Summon & Deal",NA,NA,"Other"
"24","BT_101",NA,NA,4,"Vivid Spores","RARE","AOO","SPELL",TRUE,"Give your minions ""<b>Deathrattle:</b> Resummon this minion.""",NA,NA,NA,NA,"SHAMAN","51510",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"meta8","Deathrattle","Summon & Give",NA,NA,"Other"
"25","BT_102",4,NA,5,"Boggspine Knuckles","EPIC","AOO","WEAPON",TRUE,"After your hero attacks, transform your minions into random ones that cost (1) more.",NA,NA,2,NA,"SHAMAN","51510",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"meta8","One_or_More_Trigger",NA,NA,NA,"Other"
"26","BT_106",3,3,3,"Bogstrok Clacker","RARE","AOO","MINION",TRUE,"<b>Battlecry:</b> Transform adjacent minions into random minions that cost (1) more.",NA,NA,NA,NA,"SHAMAN","51510",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"meta8","Battlecry",NA,NA,"EQUAL","Other"
"27","BT_109",4,3,3,"Lady Vashj","LEGENDARY","AOO","MINION",TRUE,"[x]<b>Spell Damage +1</b>
<b>Deathrattle:</b> Shuffle 'Vashj
Prime' into your deck.",NA,1,NA,NA,"SHAMAN","51510",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"meta8","Deathrattle","Add",NA,"ATK>HP","Other"
"28","BT_110",NA,NA,4,"Torrent","RARE","AOO","SPELL",TRUE,"[x]Deal $8 damage to a
minion. Costs (3) less if
you cast a spell last turn.",NA,NA,NA,NA,"SHAMAN","51510",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"meta8",NA,"Deal",NA,NA,"Other"
"29","BT_113",NA,NA,3,"Totemic Reflection","COMMON","AOO","SPELL",TRUE,"Give a minion +2/+2.
If it's a Totem, summon a copy of it.",NA,NA,NA,NA,"SHAMAN","51510",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"meta8",NA,"Summon & Give",NA,NA,"Other"
"30","BT_114",5,6,5,"Shattered Rumbler","EPIC","AOO","MINION",TRUE,"<b>Battlecry:</b> If you cast a spell last turn, deal 2 damage to all other minions.","ELEMENTAL",NA,NA,NA,"SHAMAN","51510",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"meta8","Battlecry","Deal",NA,"ATK<HP","Other"
"31","BT_115",3,4,3,"Marshspawn","COMMON","AOO","MINION",TRUE,"<b>Battlecry:</b> If you cast
a spell last turn,
<b>Discover</b> a spell.","ELEMENTAL",NA,NA,NA,"SHAMAN","51510",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"meta8","Battlecry","Add",NA,"ATK<HP","Other"
"32","BT_117",NA,NA,3,"Bladestorm","EPIC","AOO","SPELL",TRUE,"Deal $1 damage to all minions. Repeat until one dies.",NA,NA,NA,NA,"WARRIOR","51510",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"meta8",NA,"Deal",NA,NA,"Other"
"33","BT_120",1,10,3,"Warmaul Challenger","EPIC","AOO","MINION",TRUE,"<b>Battlecry:</b> Choose
an enemy minion.
Battle it to the death!",NA,NA,NA,NA,"WARRIOR","51510",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"meta8","Battlecry",NA,NA,"ATK<HP","Other"
"34","BT_121",2,2,1,"Imprisoned Gan'arg","COMMON","AOO","MINION",TRUE,"<b>Dormant</b> for 2 turns.
When this awakens,
equip a 3/2 Axe.","DEMON",NA,NA,NA,"WARRIOR","51510",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"meta8","One_or_More_Trigger",NA,NA,"EQUAL","Other"
"35","BT_123",4,4,4,"Kargath Bladefist","LEGENDARY","AOO","MINION",TRUE,"[x]<b>Rush</b>
<b>Deathrattle:</b> Shuffle
'Kargath Prime'
into your deck.",NA,NA,NA,NA,"WARRIOR","51510",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"meta8","Deathrattle",NA,"Rush","EQUAL","Other"
"36","BT_124",NA,NA,2,"Corsair Cache","RARE","AOO","SPELL",TRUE,"Draw a weapon.
Give it +1/+1.",NA,NA,NA,NA,"WARRIOR","51510",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"meta8",NA,"Draw & Give",NA,NA,"Other"
"37","BT_126",3,4,3,"Teron Gorefiend","LEGENDARY","AOO","MINION",TRUE,"[x]<b>Battlecry:</b> Destroy all
other friendly minions.
<b>Deathrattle:</b> Resummon
them with +1/+1.",NA,NA,NA,NA,"NEUTRAL","51510",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"meta8","Battlecry & Deathrattle","Destroy",NA,"ATK<HP","Other"
"38","BT_127",3,3,3,"Imprisoned Satyr","COMMON","AOO","MINION",TRUE,"[x]<b>Dormant</b> for 2 turns.
When this awakens, reduce
the Cost of a random minion
in your hand by (5).","DEMON",NA,NA,NA,"DRUID","51510",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"meta8","One_or_More_Trigger",NA,NA,"EQUAL","Other"
"39","BT_128",NA,NA,2,"Fungal Fortunes","RARE","AOO","SPELL",TRUE,"Draw 3 cards. Discard any minions drawn.",NA,NA,NA,NA,"DRUID","51510",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"meta8",NA,"Draw",NA,NA,"Other"
"40","BT_129",NA,NA,4,"Germination","RARE","AOO","SPELL",TRUE,"Summon a copy of a friendly minion.
Give the copy <b>Taunt</b>.",NA,NA,NA,NA,"DRUID","51510",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"meta8",NA,"Summon & Give",NA,NA,"Other"
"41","BT_130",NA,NA,4,"Overgrowth","COMMON","AOO","SPELL",TRUE,"Gain two empty Mana Crystals.",NA,NA,NA,NA,"DRUID","51510",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"meta8",NA,"Gain",NA,NA,"Other"
"42","BT_131",5,5,9,"Ysiel Windsinger","LEGENDARY","AOO","MINION",TRUE,"Your spells cost (1).",NA,NA,NA,NA,"DRUID","51510",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"meta8",NA,"Cost_Manip",NA,"EQUAL","Other"
"43","BT_132",NA,NA,2,"Ironbark","RARE","AOO","SPELL",TRUE,"Give a minion +1/+3 and <b>Taunt</b>.
Costs (0) if you have at least 7 Mana Crystals.",NA,NA,NA,NA,"DRUID","51510",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"meta8",NA,"Give",NA,NA,"Other"
"44","BT_133",7,7,7,"Marsh Hydra","EPIC","AOO","MINION",TRUE,"[x]<b>Rush</b>
After this attacks, add a
random 8-Cost minion
to your hand.","BEAST",NA,NA,NA,"DRUID","51510",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"meta8","One_or_More_Trigger","Add","Rush","EQUAL","Other"
"45","BT_134",NA,NA,3,"Bogbeam","COMMON","AOO","SPELL",TRUE,"Deal $3 damage to a minion.
Costs (0) if you have at least 7 Mana Crystals.",NA,NA,NA,NA,"DRUID","51510",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"meta8",NA,"Deal",NA,NA,"Other"
"46","BT_135",NA,NA,5,"Glowfly Swarm","EPIC","AOO","SPELL",TRUE,"Summon a 2/2 Glowfly for each spell in your hand.",NA,NA,NA,NA,"DRUID","51510",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"meta8",NA,"Summon",NA,NA,"Other"
"47","BT_136",3,4,3,"Archspore Msshi'fn","LEGENDARY","AOO","MINION",TRUE,"[x]<b>Taunt</b>
<b>Deathrattle:</b> Shuffle
'Msshi'fn Prime'
into your deck.",NA,NA,NA,NA,"DRUID","51510",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"meta8","Deathrattle",NA,"Taunt","ATK<HP","Other"
"48","BT_138",5,8,7,"Bloodboil Brute","RARE","AOO","MINION",TRUE,"<b>Rush</b>
Costs (1) less for each damaged minion.",NA,NA,NA,NA,"WARRIOR","51510",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"meta8",NA,NA,"Rush","ATK<HP","Other"
"49","BT_140",3,3,3,"Bonechewer Raider","COMMON","AOO","MINION",TRUE,"<b>Battlecry:</b> If there is a damaged minion, gain +1/+1 and <b>Rush</b>.",NA,NA,NA,NA,"WARRIOR","51510",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"meta8","Battlecry","Gain",NA,"EQUAL","Other"
"50","BT_142",2,1,1,"Shadowhoof Slayer","FREE","CORE","MINION",TRUE,"<b>Battlecry:</b> Give your hero +1 Attack this turn.","DEMON",NA,NA,NA,"DEMONHUNTER","51510",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"meta8","Battlecry","Give",NA,"ATK>HP","Other"
"51","BT_155",7,7,10,"Scrapyard Colossus","RARE","AOO","MINION",TRUE,"[x]<b>Taunt</b>
<b>Deathrattle:</b> Summon a 
7/7 Felcracked Colossus
with <b>Taunt</b>.","ELEMENTAL",NA,NA,NA,"NEUTRAL","51510",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"meta8","Deathrattle","Summon","Taunt","EQUAL","Other"
"52","BT_156",3,5,2,"Imprisoned Vilefiend","COMMON","AOO","MINION",TRUE,"<b>Dormant</b> for 2 turns.
<b>Rush</b>","DEMON",NA,NA,NA,"NEUTRAL","51510",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"meta8",NA,NA,"Rush","ATK<HP","Other"
"53","BT_159",3,7,3,"Terrorguard Escapee","COMMON","AOO","MINION",TRUE,"<b>Battlecry:</b> Summon three 1/1 Huntresses for your opponent.","DEMON",NA,NA,NA,"NEUTRAL","51510",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"meta8","Battlecry","Summon",NA,"ATK<HP","Other"
"54","BT_160",3,3,4,"Rustsworn Cultist","COMMON","AOO","MINION",TRUE,"[x]<b>Battlecry:</b> Give your
other minions ""<b>Deathrattle:</b>
Summon a 1/1 Demon.""",NA,NA,NA,NA,"NEUTRAL","51510",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"meta8","Battlecry & Deathrattle","Summon & Give",NA,"EQUAL","Other"
"55","BT_163",NA,NA,10,"Nagrand Slam","EPIC","AOO","SPELL",TRUE,"Summon four 3/5 Clefthoofs that attack random enemies.",NA,NA,NA,NA,"HUNTER","51510",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"meta8",NA,"Summon",NA,NA,"Other"
"56","BT_173",NA,NA,5,"Command the Illidari","COMMON","AOO","SPELL",TRUE,"Summon six 1/1 Illidari with <b>Rush</b>.",NA,NA,NA,NA,"DEMONHUNTER","51510",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"meta8",NA,"Summon",NA,NA,"Other"
"57","BT_175",NA,NA,1,"Twin Slice","COMMON","AOO","SPELL",TRUE,"Give your hero +2 Attack this turn. Add 'Second Slice' to your hand.",NA,NA,NA,NA,"DEMONHUNTER","51510",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"meta8",NA,"Give & Add",NA,NA,"Other"
"58","BT_187",3,5,4,"Kayn Sunfury","LEGENDARY","AOO","MINION",TRUE,"<b>Charge</b>
All friendly attacks ignore <b>Taunt</b>.",NA,NA,NA,NA,"DEMONHUNTER","51510",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"meta8",NA,NA,"Charge","ATK<HP","Other"
"59","BT_188",1,4,2,"Shadowjeweler Hanar","LEGENDARY","AOO","MINION",TRUE,"[x]After you play a <b>Secret</b>,
<b>Discover</b> a <b>Secret</b> from
a different class.",NA,NA,NA,NA,"ROGUE","51510",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"meta8","One_or_More_Trigger","Add",NA,"ATK<HP","Other"
"60","BT_190",3,3,4,"Replicat-o-tron","EPIC","AOO","MINION",TRUE,"At the end of your turn, transform a neighbor into a copy of this.","MECHANICAL",NA,NA,NA,"NEUTRAL","51510",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"meta8","Multi_Trigger",NA,NA,"EQUAL","Other"
"61","BT_196",3,3,6,"Keli'dan the Breaker","LEGENDARY","AOO","MINION",TRUE,"[x]<b>Battlecry:</b> Destroy a minion.
If drawn this turn, instead
destroy all minions
except this one.",NA,NA,NA,NA,"WARLOCK","51510",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"meta8","Battlecry","Destroy",NA,"EQUAL","Other"
"62","BT_197",1,3,1,"Reliquary of Souls","LEGENDARY","AOO","MINION",TRUE,"[x]<b>Lifesteal</b>
<b>Deathrattle:</b> Shuffle
'Reliquary Prime'
into your deck.",NA,NA,NA,NA,"PRIEST","51510",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"meta8","Deathrattle",NA,"LifeSteal","ATK<HP","Other"
"63","BT_198",NA,NA,7,"Soul Mirror","LEGENDARY","AOO","SPELL",TRUE,"Summon copies of enemy minions. They attack their copies.",NA,NA,NA,NA,"PRIEST","51510",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"meta8",NA,"Summon",NA,NA,"Other"
"64","BT_199",NA,NA,1,"Unstable Felbolt","COMMON","AOO","SPELL",TRUE,"Deal $3 damage to an enemy minion and a random friendly one.",NA,NA,NA,NA,"WARLOCK","51510",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"meta8",NA,"Deal",NA,NA,"Other"
"65","BT_201",2,4,3,"Augmented Porcupine","EPIC","AOO","MINION",TRUE,"[x]<b>Deathrattle</b>: Deal this
minion's Attack damage
randomly split among
all enemies.","BEAST",NA,NA,NA,"HUNTER","51510",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"meta8","Deathrattle","Deal",NA,"ATK<HP","Other"
"66","BT_202",2,1,1,"Helboar","COMMON","AOO","MINION",TRUE,"<b>Deathrattle:</b> Give a random Beast in your hand +1/+1.","BEAST",NA,NA,NA,"HUNTER","51510",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"meta8","Deathrattle","Give",NA,"ATK>HP","Other"
"67","BT_203",NA,NA,2,"Pack Tactics","RARE","AOO","SPELL",TRUE,"<b>Secret:</b> When a friendly minion is attacked, summon a 3/3 copy.",NA,NA,NA,NA,"HUNTER","51510",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"meta8","One_or_More_Trigger","Summon",NA,NA,"Other"
"68","BT_205",NA,NA,4,"Scrap Shot","RARE","AOO","SPELL",TRUE,"Deal $3 damage.
Give a random Beast in your hand +3/+3.",NA,NA,NA,NA,"HUNTER","51510",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"meta8",NA,"Give & Deal",NA,NA,"Other"
"69","BT_210",2,4,3,"Zixor, Apex Predator","LEGENDARY","AOO","MINION",TRUE,"[x]<b>Rush</b>
<b>Deathrattle:</b> Shuffle 'Zixor
Prime' into your deck.","BEAST",NA,NA,NA,"HUNTER","51510",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"meta8","Deathrattle","Add","Rush","ATK<HP","Other"
"70","BT_211",5,4,2,"Imprisoned Felmaw","COMMON","AOO","MINION",TRUE,"[x]<b>Dormant</b> for 2 turns.
When this awakens,
  attack a random enemy.","DEMON",NA,NA,NA,"HUNTER","51510",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"meta8","One_or_More_Trigger",NA,NA,"ATK>HP","Other"
"71","BT_212",5,2,4,"Mok'Nathal Lion","RARE","AOO","MINION",TRUE,"<b>Rush</b>. <b>Battlecry:</b> Choose a friendly minion. Gain a copy of its <b>Deathrattle</b>.","BEAST",NA,NA,NA,"HUNTER","51510",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"meta8","Battlecry","Gain","Rush","ATK>HP","Other"
"72","BT_213",NA,NA,2,"Scavenger's Ingenuity","COMMON","AOO","SPELL",TRUE,"Draw a Beast.
Give it +2/+2.",NA,NA,NA,NA,"HUNTER","51510",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"meta8",NA,"Draw & Give",NA,NA,"Other"
"73","BT_214",5,5,8,"Beastmaster Leoroxx","LEGENDARY","AOO","MINION",TRUE,"<b>Battlecry:</b> Summon 3 Beasts from your hand.",NA,NA,NA,NA,"HUNTER","51510",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"meta8","Battlecry","Summon",NA,"EQUAL","Other"
"74","BT_230",6,5,6,"The Lurker Below","LEGENDARY","AOO","MINION",TRUE,"[x]<b>Battlecry:</b> Deal 3 damage
to an enemy minion. If it
dies, repeat on one of
its neighbors.","BEAST",NA,NA,NA,"SHAMAN","51510",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"meta8","Battlecry","Deal",NA,"ATK>HP","Other"
"75","BT_233",NA,NA,1,"Sword and Board","COMMON","AOO","SPELL",TRUE,"Deal $2 damage to a minion. Gain 2 Armor.",NA,NA,NA,NA,"WARRIOR","51510",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"meta8",NA,"Gain & Deal",NA,NA,"Other"
"76","BT_235",NA,NA,5,"Chaos Nova","FREE","CORE","SPELL",TRUE,"Deal $4 damage to all minions.",NA,NA,NA,NA,"DEMONHUNTER","51510",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"meta8",NA,"Deal",NA,NA,"Other"
"77","BT_249",4,5,5,"Scrap Golem","RARE","AOO","MINION",TRUE,"<b>Taunt</b>. <b>Deathrattle</b>: Gain Armor equal to this minion's Attack.","MECHANICAL",NA,NA,NA,"WARRIOR","51510",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"meta8","Deathrattle","Gain","Taunt","ATK<HP","Other"
"78","BT_252",NA,NA,1,"Renew","COMMON","AOO","SPELL",TRUE,"Restore #3 Health. <b>Discover</b> a spell.",NA,NA,NA,NA,"PRIEST","51510",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"meta8",NA,"Restore & Add",NA,NA,"Other"
"79","BT_253",NA,NA,5,"Psyche Split","RARE","AOO","SPELL",TRUE,"Give a minion +1/+2. Summon a copy of it.",NA,NA,NA,NA,"PRIEST","51510",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"meta8",NA,"Summon & Give",NA,NA,"Other"
"80","BT_254",2,3,2,"Sethekk Veilweaver","EPIC","AOO","MINION",TRUE,"[x]After you cast a spell on
a minion, add a Priest
spell to your hand.",NA,NA,NA,NA,"PRIEST","51510",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"meta8","One_or_More_Trigger","Add",NA,"ATK<HP","Other"
